"Title","Artist","ReviewBody","AlbumRating","AlbumFeelingRating","SongAvg","AlbumArt","Blurb","NextUpText","DatePosted","Listen1","Listen2","Listen3"
"A Place Where the Sun is Silent","Alesana","We have another rock opera style album. This is a post-hardcore edition with the premise focusing on Dante's inferno. The album starts out, _The Dark Wood of Error_, with a lilting melody featuring a duet between the male and female singers. Almost haunting in a way, it really sets the mood for the rest of the album. The first actual track of the album is, _A Forbidden Dance_, they definitely toned down the screaming for this album, its still there for sure, but just not as often as some previous albums. I'm changing my opinion on _Hand in Hand with the Damned_ this track fucking rocks. The build up for the next track, _Beyond the Sacred Glass_ is mindblowing as well. The guitar solo pretty much makes this song. The next track _The Temptress_ has this chorus that I cannot stand in this kind of genre, thats the reason for the low star rating. Another stand out is _Circle VII: Sins of the Lion_, the chorus on this song just gets me so hyped up. The next Track _Vestige_ is a nice break from the hardcore sound, although I think the instrumental version is better. _Lullaby of the Crucified_ marks a fantastic end to Act One, being a rock opera this album is broken up into two eight song acts. After a bit of a lull, _Lybyrinth_ brings us right back to the action. The hardcore screaming a nice compliment to some of the softer elements. After _Welcome to the Vanity Faire_ the album starts to shift towards a more carnival-esque sound, there has to be a better descriptor than that. Overall this is another great album, I think this might be my favorite Alesana album period.","4","4","3","\\OPENMEDIAVAULT\Media\Music\Alesana\A Place Where the Sun is Silent\Cover.jpg","Now this... this is a Grade-A lowus band. I remember falling off after the first few albums but still really good","NEXT UP:  A Series of Sneaks by Spoon  classic Texas Indie","2021-01-11T10:00:22.732692","2021-01-07","2021-01-08","2021-01-09"
"A Series of Sneaks","Spoon","The second full length album by Spoon. Classic indie rock at it's finest. Spoon is unironically the soundtrack to the years 2000-2005 for me. I think this is one of those albums that you can play anywhere and people will get into it. This is one of those albums thats hard to get into specifics with, since all the tracks feel the same, but are distinctly different. But tracks like _Reservations_ are really a standout. It's such a groovey track. _30 Gallon Tank_ is just rising action the song. All the songs on the album are just fun songs. We see things slowing down a bit when we get to _Metal Detektor_. I actually changed my mind on _June's Foreign Spell_ while listening to it for the review. That song is actually a four and not a three. Overall not much to say, but give this album a listen if you get a chance.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Spoon\A Series of Sneaks\Cover.jpg","classic Texas Indie","NEXT UP:  A Thousand Leaves by Sonic Youth  It's not their best album, but its not bad","2021-01-15T10:00:22.732692","2021-01-07","2021-01-08","2021-01-09"
"A Thousand Leaves","Sonic Youth","This is one of the sonic youth albums I never really got around too, Their earlier albums are the ones I've spent the most time on. The album does start out a little rough for me with _Contre Le Sexisme_, being mostly a silence/noise track. Things start picking up with _Sunday_, definitely harkens a lot to the 90s indie sound but does a nice job of not feeling too repetitive. When the bridge kicks back up towards the middle of _Wildflower Soul_ I feel it. I think this album definitely has some high highs, but also some low lows. I guess that is one of the issues with Art Rock, you can find some really cool sounds but you can never really stick with them for too long. Most of the songs do a nice job of jumping between a softer side and then a harder edgier side. Overall I think the album has some good pieces, but I don't think it will make it as an everyday staple.","3","3","2.7","\\OPENMEDIAVAULT\Media\Music\Sonic Youth\A Thousand Leaves\Cover.jpg","It's not their best album, but its not bad","NEXT UP:  A Weird Exits by Thee Oh Sees  The second half of a 2 part ep, The album art is by Robert Beaty and is awesome","2021-01-18T10:00:16.344679","2021-01-14","2021-01-15","2021-01-16"
"A Weird Exits","Thee Oh Sees","I have probably listened to this album about thrity times before I ever bought it. Such a wild and fun ride. This is still on the more lofi-gargey side before they moved in a more progressive route for their later albums. The first track _Dead Man's Gun_ definitely sets the stage, it's nice and jammy with sick solo right in the middle. _Ticklish Warrior_ carries the momentum and kind of adds a Wall of Sound type ascetic. The next track _Jammed Entrance_ is this albums jam track. It's a good jam, but nothing special as well. _Plastic Plant_ kicks everything into overdrive. That guitar riff at the beginning just makes you want to mosh. _Gelatinous Cube_ keeps that energy high, I think I just like loud and fast guitars, which is waht this album is mostly. The album generall slows down quite a bit after that last track. _Unwrap the Friend, Pt.2_ is another jam track, still fun but more carries the energy rather than build it up or down. The jamming continues with _Crawl Out From the Fall Out_; it's more of a noise-y thing than a jammy track, but about halfway through it starts to get a bit more instrumental. Finally _The Axis_ almost has a religious quality to it. Feels like the end of an acid trip when your ramblings are starting to sound prophetic. The organ defintely helps in that regard. Overall I think this is a fucking fantastic album, not for everyone but for a fan of Dwyer or Oh Sees its a must listen.","4","4","3.75","\\OPENMEDIAVAULT\Media\Music\Thee Oh Sees\A Weird Exits\Cover.jpg","The second half of a 2 part ep, The album art is by Robert Beaty and is awesome","NEXT UP:  about by HYI  I remember this album being hyped up, but I never got around to it","2021-01-22T10:00:16.593834","2021-01-14","2021-01-15","2021-01-16"
"about","HYI","Two weeks in a row we have albums starting with nothing/noise tracks at the beggining. For the most part _about_ is a rather chill affair. _ephemera_ takes a couple minutes to pick up, but when it does, holy shit does it pick up. We ride that high from the last minute or so right into _she spoke of it_; a banger all the way through, I think it's my favorite song on the album overall. We slow things down a bit when move to _inside out star tree_ and amp up the glitchiness when we get to _end of ice_. I really like _end of ice_ but I wish it would go someplace instead of just building a mood. THe track _animal crossing_ has this really interesting eastern sound to it. I really can't decide if _animal crossing_ or _she spoke of it_ are my favorites but defintiely two standouts of the album. Overall I think this is a good entry point for the new fursona, hyi, but I really can't wait to see what happens in their second album.","3","3","2.9","\\OPENMEDIAVAULT\Media\Music\hyi\about\Cover.png","I remember this album being hyped up, but I never got around to it","NEXT UP:  Acid Intraveneous by Renard + Adraen  more Lapfox trax, bring them on","2021-01-25T10:00:04.185081","2021-01-21","2021-01-22","2021-01-23"
"Acid Intraveneous","Renard vs Adraen","More Lap Fox Trax (or whatever it's going by now). Always a good time, I believe Renard is the sample, straight electronic fursona, but I don't remember what Adraen is off the top of my head. _Night Ride_ lives up to its name, this song would make a great addition to a driving game. The song is basically all rising action. The drum and base is strong with _Not So Bad_, it starts out a little slow for my taste but it definitely picks up the action. The next two tracks _You Goddamn Fish_ and _Way High_ are both a little on the slow side for me. _Physicallity_ is a really interesting track that uses a System of a Down sample. Really fun track. Overall the album is a short and fun, sample/jungle get down.","3","3","3.1","\\OPENMEDIAVAULT\Media\Music\Renard vs Adraen\Acid Intravenous\Cover.jpg","more Lapfox trax, bring them on","NEXT UP:  The Adolescents by The Adolescents  classic socal punk, this album is fantastic","2021-01-29T10:12:21.296241","2021-01-21","2021-01-22","2021-01-23"
"Adolescents","Adolescents","The first Album from Adolescents. This is **the** Socal Punk album. One of the greatest of all time. Every track is a fast throwdown that just makes you want to mosh. The first few tracks _I Hate Children_, _Who Is Who?_, _Wrecking Ball_, and _L.A. Girl_ are all great tracks, a little on the samesies side for most of them. They all feature that fast as a whip thrash sound. The album startes to really pick up for me during _Kids of the Black Hole_. The sound changes up a bit, its quite a bit longer at five and half minutes versus the one and half minute tracks preceding it. The slow build of the track, that leads into that solo is really something else, not something you were seeing out of a ton of punk bands at the time. _No Way_ starts out with that guitar solo to really bring the energy back up in preperation for the next track. _Amoeba_ is the track that got them famous. The track so good a record store named themselves after it. Such a catchy jam, I don't know a person that couldn't get it into. When you say thrash punk, you think Amoeba. Skipping a few tracks, _Democracy_ turns out to be really timeless, the same sentiments exist fourty years after this album came out. _No Friends_ is the next track on the list. This song got a four strictly for that solo towards the end. _Creatures_ has this energy, another fun track. Overall this album is one of the greatest, a little on the samesies side to warrent a five, but this is definitely going in heavy rotation","4","4","3.3","\\OPENMEDIAVAULT\Media\Music\Adolescents\Adolescents\Cover.png","classic socal punk, this album is fantastic","NEXT UP:  (Knight) by RQ  I wonder if this character is going to register correctly. THe answer is no","2021-02-01T10:00:08.513808","2021-01-28","2021-01-29","2021-01-30"
"(Knight)","RQ","RQ is the rebrand of Renard Queenstone, I think RQ is much catchier and was a good choice. First thing you might notice is that we are back in the symbols, well we actually have to jump back for a few albums till we fill out those sections. You also might notice that there is a thousand different symbols, this is what broke the bot a while ago. Starting off the first track is literally a second long, seriously why do artists do this stuff, it's not like there is a track quota on albums. For the most part this album is _fine_, nothing special and nothing terrible. That being said there are two tracks in particular that are really good. _THE DEMONS_ has this really interesting sample, presumadly from a televangelist, that plays throughout it. The followup up track _[Rush Coil]_, is also worth noting here. The mix of an organ with a trap beat is something I never knew I needed before now. Other than those two, the other tracks aren't bad, just nothing else worth saying. Overall it's a fun album that is definitely worth a listen.","3","3","3","\\OPENMEDIAVAULT\Media\Music\RQ\(Knight)\Cover.jpg","I wonder if this character is going to register correctly. THe answer is no","NEXT UP:  2YR, 40:28.649 by HALLEY LABS Associates  Again I have no idea what to expect","2021-02-05T10:00:09.393870","2021-01-28","2021-01-29","2021-01-30"
"2YR, 40:28.649","HALLEY LABS Associates","I don't think I've ever listened to an ""experiental"" album before. To me it just seemed like almost ambient electronica. For the most part this album is pretty chill, whith some fun upticks. _Cat Tail Lake_ is very much like that, the first half is pretty chill and ambient, but then it morphs into this bouncy jam track. It eventually leads to the track, _Wasn't All There_, which I do like, in parts. I usually kind of like the effect of the radio static, as if you are changing stations; but it's used to such an extent that it actually does the opposite for me here. Then we get to _Tweesee Smiled_ and what a track to go out on. It's got some heavy Dnb vibes, that breaks down into like a vgm guitar riff. After that transition it becomes an airy, trance song. Overall I don't think I like this album that much, but there are a few tracks that definitely make it worth while.","3","3","2.9","\\OPENMEDIAVAULT\Media\Music\HALLEY LABS Associates\2YR, 40-28.649\Cover.jpg","Again I have no idea what to expect","NEXT UP:  Adore by Smashing Pumpkins  90s classic band, I don't think I actually like them that much","2021-02-08T10:00:11.973592","2021-02-04","2021-02-05","2021-02-06"
"Adore","Smashing Pumpkins","I don't know if this was the best album to jump in to Smashing Pumpkins with. This album is very 90's alternative, but it does mix some electronic elements into it. The first two tracks _To Shiela_ and _Ava Adore_ are a little on the art house style for me, a little too slow as well. _Perfect_ is more inline with what I would expect from Smashing pumpkins. Then in _Daphne Descends_ it goes back to that moody electronic sound. The next series of tracks, aren't bad just a little on the boring side. This album feels very 90's at points, thats not necassarily a bad thing but it can be. The track _Appels + Oranjes_ leans very heavily into the electronic sound, almost going full on Moby Electronic. _Pug_ stays on the electronic bend that the previous track sets up, but is a lot more high enegery. _Annie-Dog_ starts out as a slow piano driven dirge, but slowely builds and builds over the course of its run time. Overall I don't think this album is bad, its just not really for me. The few standouts are the only thing holding this album at a three for me.","3","3","2.8","\\OPENMEDIAVAULT\Media\Music\Smashing Pumpkins\Adore\Cover.jpg","90s classic band, I don't think I actually like them that much","NEXT UP:  Adrenaline by Deftones  I love this band, but I don't remember this album at all","2021-02-12T10:02:22.036130","2021-02-04","2021-02-05","2021-02-06"
"Adrenaline","Deftones","The first album from Deftones. It definitely is a lot rougher around the edges than some of their new material. Still pretty good but could use a bit of refinement. The first track, _Bored_, is my favorite on the album, has a really nice chorus running through it. _One Weak_ is another track that has a pretty good chorus, not good enough to bump it up, but still pretty good. Some of the bass grooves on this album, are absolutely fantastic though. The next few tracks, _Nosebleed_ and _Lifter_, both are pretty overtly aggro tracks. _Lifter_ in particular does have a really good rising action through out it. _Root_ has a nice riff to as well. There isn't really a ton to say about most of these songs, they are all pretty samey. Which is not unexpected from a band like Deftones, especially in their early state. They do slow things down a bit in songs like, _Birthmark_ or _Fireal_, defintely when I think their sound gets real interesting. Overall I think this is a good enough showing from deftones but their later albums are definitely way better.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Deftones\Adrenaline\Cover.png","I love this band, but I don't remember this album at all","NEXT UP:  Adventures With Tweesee by Darius + Rotteen  We got a whole lot of fusion going on here, Am Excite","2021-02-15T10:00:11.270471","2021-02-11","2021-02-12","2021-02-13"
"Adventures With Tweesee","Darius + Rotteen","Holy shit there is a lot of fusion going on in this album. I forgot how much I like trance music, but this album 100% reminded me why I do. _Everblossom Train_ sounds like going to the arcade in 2005 to me. I think something almost exactly like this was coming out of the DDR machine. Everytime I try to sit down and write something, I get swept up in the music. It makes it very difficult to review the tracks. Overall every track is a sick build up, not much to say other than this is fucking awesome.","4","4","4.3","\\OPENMEDIAVAULT\Media\Music\Darius + Rotteen\Adventures With Tweesee\Cover.jpg","We got a whole lot of fusion going on here, Am Excite","NEXT UP:  Aenima by Tool  WOO MORE TOOL!","2021-02-19T10:00:14.295863","2021-02-11","2021-02-12","2021-02-13"
"Aenima","Tool","I think I've really only listened to the singles off this album. For whatever reason, they decided to cut the last minute or two off of one of their jam tracks and make it into a seperate track. Maybe it was to increase the track count but it drives me crazy. Now there are like five ""songs"" that have the potential to end up in a shuffle that is just noise. If those tracks were really necassary to the album then just keep them apart of the longer songs so they are ""unskippable"". Now back to the actual review. _Stinkfist_ starts off the album pretty strong. Definitely sets a good mood, with that mysterious sounding riff mixed with the bongos. _Eulogy_ keeps up the air of mystique that is prevalent throughout this album. The song doesn't really start picking up until about halfway through it's eight minute run time. Most of these songs are just shifting and changing the mood from a heady slow jam, into the more aggro metal portions. _H._ is definitely one of those tracks. The track _Hooker with a Penis_ kind of solidies this band as the frat band it kind of is. _Pushit_ is another one of the singles that I've heard before, this is definitely one of their better songs. While it is another slow build over its almost ten minute runtime, what's interesting is the call back to previous verses as it builds up. So it will go chorus, build, chorus, build a bit faster, so on and so forth. Now we get to the tracks that I really liked. _AEnema_ and _Third Eye_. Even though I called tool a frat band earlier, they are also very much hippy-ish as well, if you couldn't tell by the obvious drug references everywhere. Overall the album is good, it would be better without those five noise tracks, but I definitely think there is something to enjoy here.","3","3","2.7","\\OPENMEDIAVAULT\Media\Music\Tool\Aenima\Cover.jpg","WOO MORE TOOL!","NEXT UP:  12 Bar Bruise by King Gizzard & The Lizard Wizard  The very first King Gizz album, excited to listen to this","2021-02-22T10:00:11.436469","2021-02-18","2021-02-19","2021-02-20"
"AFI [The Blood Album]","AFI","This is the latest album from AFI. You can definitely hear a little bit of DECEMBERUNDERGROUND in the sound, but it does sound evolved in ways too. We start the album with _Dark Snow_, a nice brooding track that has a nice energy to carry it through. It almost has a new wave kind of quality to it as well. The next track _Still a Stranger_ has this acoustic guitar opening that I don't know how to place, but it always reminds me of anything kind of gothy like the self titled Blink-182 album. It does then immediately break down into a much faster riff structure. This song almost has a REM kind of vibe to it as well. _Hidden Knives_ has such a sick chorus on it. _So Beneath You_ is easily one of the best tracks on the album. _Dumb Kids_ is another really standout song to me. When it breaks into that ""Heeeeeyyyyyyyyy...."" part, gives me goosebumps. Such a fast fun track, very remiscent of some of their other fun tracks from Crash Love. _Pink Eyes_ on the other hand, has a chorus that kind of makes me groan a bit. _Feed From the Floor_ is the last track that I especially like, the rest of the tracks aren't bad, just not amazing. This album really feels like a love child between emo and new wave, I think _Feed From the Floor_ really accents that. Overall for being the second full length AFI album that I have listened to all the way through, it's really good. Kind of gets a bit too poppy in certain segments for me, but the songs that land; land fucking hard.","4","4","3.6","\\OPENMEDIAVAULT\Media\Music\AFI\AFI [The Blood Album]\Cover.jpg","The newest Self titled from AFi, never listened to this before","NEXT UP:  Against the Grain by Bad Religion  90s bad religion, I don't remmber if this stuff is good (It is)","2021-02-26T10:03:17.916778","2021-02-18","2021-02-19","2021-02-20"
"12 Bar Bruise","King Gizzard & The Lizard Wizard","The very first King Gizz album. I had really only listened to their crazy changing genre albums that they eventually evolveed into. But seeing as this album came out in 2012, I know for a fact this album would have been on all the time if I had known about it at that time. It's almost got the vocals of a fidlar track, but with a bit more production value. For the most part the album is pretty standard garage punk. Loud, Fast, and jammy. Until you get to _Sam Cherry's Last Shot_. It's a really interesting vocal clip of some old show (presumadly) backed by music. The track _Uh Oh, I Called Mom_ is another really fun track. Overall this is a fun album, even though its a 3 its still going on the normal listening routine.","3","3","3.3","\\OPENMEDIAVAULT\Media\Music\King Gizzard & The Lizard Wizard\12 Bar Bruise\Cover.jpg","The very first King Gizz album, excited to listen to this","NEXT UP:  26 by Sithu Aye  I've only really listened to one album from this guy, it was so good I spent $70 on his discography","2021-03-01T10:13:22.198276","2021-02-25","2021-02-26","2021-02-27"
"26","Sithu Aye","Ahh _Sithu Aye_, a recent favorite of mine. I have spent most of the time listening to his album _Set Course for Andromeda_. This album is celebration of his recent birthday (at the time), graduating with his physics degree, and the 10 year anniversary of his first album that he released on September 26th while living in a house with a door plate numbered `26`. Sithu Aye describes himself as happy progressive genre, that definitely seems to track, although I would argue its more straight progressive myself. The first song on the ep is _Mandalay_. As the song hits it's climax, it gets into this really powerful solo. One of the things I really like about his music, is that it really feels like its taking you on a journey. The titular track _26_, almost has a post-hardcore vibe to it, feels almost like a solo medley from _Dance Gavin Dance_ or similar band. Overall a fantastic ep, currently one of my favs.","5","5","5","\\OPENMEDIAVAULT\Media\Music\Sithu Aye\26\Cover.jpg","I've only really listened to one album from this guy, it was so good I spent $70 on his discography","NEXT UP:  Against the Grain by Bad Religion  90s bad religion, I don't remmber if this stuff is good (It is)","2021-03-05T10:00:15.897717","2021-03-02","2021-03-03","2021-03-04"
"Against the Grain","Bad Religion","Oh man, I was a little worried going into this album, that it wouldn't be as good as I remember. Well consider me convinced, this album fucking rocks. That guitar solo that opens up the album on _Modern Man_, gets you ready to mosh. As individual songs there isn't too much to say. As with must punk, it seems as either you like it or you don't. I very much like this album, but I think for the first half of the album it does sound a bit samey. I did look up the lyrics and it seems as that is the much more important part on this album, but as I don't really listen to lyrics that does kind of hamper the album a bit. _21st Century Digital Boy_ on the other hand, is a classic. also one of the longest songs on the album at two minutes and fifty seconds. To me, this song is one of **The** songs I think of when I think of punk music. It's almost on the too melodic side to even be punk. Overall while I don't have much to say other than listen to this fucking album","4","4","3.1","\\OPENMEDIAVAULT\Media\Music\Bad Religion\Against The Grain\Cover.jpg","90s bad religion, I don't remmber if this stuff is good (It is)","NEXT UP:  Airbag/How am I Driving? by Radiohead  I think i don't like this album","2021-03-08T10:00:14.079288","2021-03-03","2021-03-04","2021-03-06"
"Airbag/How am I Driving?","Radiohead","Oh a quick ep from Radiohead. I don't think I have ever really listened to too much Radiohead, dispite having a bunch of their albums. I think I might have listned to one of the tracks on this ep before hand and then just written the entire thing off. It's a little on the indie side for my tastes now-a-days but I still generally enjoy this ep. _Airbag_ starts off the album, this is one of those songs that I feel like to really enjoy it, you need to be really high. The next track, _Pearly_ picks up the pace slightly, it's a bit more jammy than the previous track as well. This is a quick review, I mean the ep is only seven songs after all. Overall I think this ep is good, I don't know how the rest of radiohead is going to go though.","3","3","3","\\OPENMEDIAVAULT\Media\Music\Radiohead\Airbag_How Am I Driving_\Cover.jpg","I think i don't like this album","NEXT UP:  The Alchemy Index, Vols. I, & II by Thrice  Parts I & II, fire & water, post-hardcore & Ambient Electronic","2021-03-12T10:00:16.137013","2021-03-04","2021-03-05","2021-03-06"
"The Alchemy Index, Vols. I, & II","Thrice","Now I've been really looking forward to this album and the followup as well. This album and the following all concept albums, 4 eps split into 2 albums covering the four basic elements; Fire, Water, Air, and Earth. This first album takes the elements of fire and water. The fire is symbolized by their former style of ""post-hardcore"" and water is symbolized by an ambient kind of electronica. The second track on the album, _The Messenger_, starts out with this beat that sounds like the ""Showcase"" splash screen music, the thing before _Trailer Park Boys_. _The Arsonist_ has this really sick breakdown, ""I Love this city, enough that I'll set it ablaze"" over and over as the music builds, makes for a really cool effect. The first half is definitely my personal favorite of all 4 eps, but as you'll read in the next review, there are definitely some really cool tracks in the other elements, I just think fire is the most consistant. The second half of this album, Water, is interesting. I can't really say that I've heard Thrice do much with electronic elements before. The ambient electronic sound definitely works to make this sound very ocean-y. Too bad ambient music can be very hard to listen to if you are not in the mood for it. I don't have much to say for the second half; It's not bad, it just doesn't quite hold my interest like the first part does. Overall I think this is a good album, definitely the better of the two, but it doesn't feel like an album that you play all the time more listen to a couple times and think ""Yeah this is a cool concept"" and then don't touch it anymore.","3","3","2.8","\\OPENMEDIAVAULT\Media\Music\Thrice\The Alchemy Index, Vols. 1 & 2_ Fire & Water\Cover.jpg","Parts I & II, fire & water, post-hardcore & Ambient Electronic","NEXT UP:  The Alchemy Index, Vols. III, & IV by Thrice  Parts III & IV, Air & Earth, Atmospheric & Americana","2021-03-15T10:00:14.720602","2021-03-05","2021-03-08","2021-03-13"
"The Alchemy Index, Vols. III, & IV","Thrice","The second of the Thrice element concept albums. This album features Air and Earth, Atmospheric and Folk. What's really tough about these albums is that I think the highs are much higher than album one, but the lows are ever so much lower. The opening track _Broken Lungs_ is just this kind of boring ballad that I can barely sit through. Unlike the next track _The Sky Is Falling_ which features this groovy sound and sax chord carrying the melody, this one is a bop. _Daedelus_ is my favorite of all the tracks on both albums, it's a retelling of the myth of Icarus but from his father's perspective. The second half of this album is the Earth portion, based on folk and americana sounding; because those genres are ""down to earth"" get it? While this portion of the album is fine, it's not really my thing, a lot of it feels like the slow portion in a ska album. Overall this half of the two-part album is definitely not my favorite, the highs are high, but other than that it's a snooze fest.","2","2","2.3","\\OPENMEDIAVAULT\Media\Music\Thrice\The Alchemy Index, Vol. 3 & 4_ Air & Earth\Cover.jpg","Parts III & IV, Air & Earth, Atmospheric & Americana","NEXT UP:  All Hail Bright Futures by And So I Watch You From Afar  A band I have recently fallen in love with, This album is a fucking jam","2021-03-19T10:00:17.134691","2021-03-08","2021-03-09","2021-03-13"
"All Hail Bright Futures","And So I Watch You From Afar","Now I have been looking forward to this album for a long time. I had a magical experience listening to this album high as fuck. I can say that sober it definitely holds up as well. The first track _Eonia_ while basically an extended intro for the next track, its still bumping. _Big Thinks Do Remarkable_ is the next track and definitely my favorite on the album. About halfway through when it starts hitting with that ""The Sun, The Sun, The Sun, Is in our eyes"" bit is epic. One of the cool things about ASIWYFA is that each of their albums feel wildly different from eachother, but still the same. This album has a definite upbeat-positive vibe to it. The tracks, _Stay Golden Pt. 1-3_, feel like a giant rising action. _Mend And Make Safe_ has this really cool panflute on the track, I feel like a lot of bands have been using the panflute lately. It also has this glitchy vibe tgo it as well. Since this is the digital deluxe version of this album it does come with two bonus tracks, _Gum_ and _Spiderbox_, both of which are awesome tracks. Overall this album is fantastic and is definitely worth the listen.","4","4","4","\\OPENMEDIAVAULT\Media\Music\And So I Watch You From Afar\All Hail Bright Futures\Cover.jpg","A band I have recently fallen in love with, This album is a fucking jam","NEXT UP:  All's Well That Ends Well by Chiodos  Screamy, emo, music","2021-03-22T10:00:19.836071","2021-03-09","2021-03-10","2021-03-20"
"All's Well That Ends Well","Chiodos","When I first saw this was the album next up, I was thinking ""what if this is just bad edgy music from when I was a teenager"". Then it startup up and my thoughts were ""This is just good edgy music from when I was a teen"". Ignoring the prelude track and the two interludes, this album is a fucking bop. The higher pitch harmonies combined with the heavy-ness of the guitars and screaming compliment each other really well. The album also has this thread of a victorian opera going through it as well, that adds just another layer of depth to the music. The first track that really stands out is _Baby, You Wouldn't Last a Minute on the Creek_. The album also features this weird carnival synth that is layered on some of the tracks. It's such a weird mishmash of moods. This album has been a lost gem for me. Overall this album is great, give it a listen.","4","4","3.1","\\OPENMEDIAVAULT\Media\Music\Chiodos\All's Well That Ends Well (Deluxe Edition)\Cover.jpg","Screamy, emo, music","NEXT UP:  Aloha Moon by Magic Wands  I think I've seen them live, I don't remember","2021-03-26T10:00:17.038463","2021-03-10","2021-03-11","2021-03-20"
"Aloha Moon","Magic Wands","I remember really liking the song _Space_ off this album, but I don't think I had listened to the entire thing before this. It starts out very pop-y, theres a bit of shoegaze to some of the tracks but for the most part its a little bubblegum-y. There are a few standouts like: _Crystals_ and _Kaleidoscope Hearts_ and a few amazing songs like: _Black Magic_ and _Space_, but for the most part the album is pretty mediocre. Songs like _Treasure_ have this airy 80s sound to them, but they can start to feel very samey pretty quickly. Overall I do like the album, but it feels like it is just one or two albums away from really being something great.","3","3","3.5","\\OPENMEDIAVAULT\Media\Music\Magic Wands\Aloha Moon\Cover.jpg","I think I've seen them live, I don't remember","NEXT UP:  DAMN. by Kendrick Lamar  I don't know if I've ever listened to this all the way through, but this ones for you @Supershibe","2021-03-29T10:00:21.117316","2021-03-11","2021-03-12","2021-03-27"
"DAMN.","Kendrick Lamar","When Nathan suggested that I take a crack at this album, I was excited, I remember really liking _HUMBLE._ and some other tracks on the album. I don't think I had ever listened to the entire album before though. Right off the bat, Kendrick's producing work really stands out. It's rare for me to actually like the intros on albums, but _BLOOD._ really does a good job of setting the tone for the rest of the album. I think one thing that has me at a disadvantage on this album review, and ultimately hurt it's score, is that I sometimes have a hard time comprehending lyrics on tracks. _DNA._ is a good example of this, from the sound clips spliced into the track I can tell the general message of the song, but for most of the track the actual spoken word portion just flies by me. The next track on the album, _YAH._, is definitely a big miss for me. I find it very repetitive, and it was just on the cusp of getting a lower score, but the chorus saved it for me. Not that I'm a huge Kendrick scholar or anything, but I think one of the things that was really missing for me on this album was his usual jazz-esque beats. There are some elements of jazz built into _ELEMENT._, but as with most of the tracks the beat seems to go more for a Trap ascetic. I don't dislike Trap as a genre, just for me I really, really like the jazz beats. As soon as I say my previous statement; the next track, _FEEL._, comes on and immediately shifts more to a jazz ascetic. It feels very rare for an artist at the top of the game, to speak so candidly about his anxieties and fears about being at the top of the game. _PRIDE._ is another jam on the album; a nice break between the first and second half of the album. I'm skipping over _DAMN._ I don't think, at this point, there is anything I can add that will change the discourse of what people are already saying. _LUST._ on the other hand, is another slow banger. The second half of the album, minus _DAMN._, is so very different from the first half. It's much more mellow and slow. Overall this is a solid album, only hampered by my own inability to understand lyrics in songs.","4","4","3.6","\\OPENMEDIAVAULT\Media\Music\Kendrick Lamar\DAMN\Cover2.jpg","I don't know if I've ever listened to this all the way through, but this ones for you @Supershibe","NEXT UP:  Love What Survives by Mount Kimbie  Fucking _Blue Train Lines_ is too good, this one is also for @Supershibe","2021-04-02T10:06:08.437778","2021-03-12","2021-03-15","2021-03-27"
"Love What Survives","Mount Kimbie","Another Nathan reccomendation. I knew I had listened to _Blue Train Lines_ before, but I don't think I had listened to the entire album before. I love Mount Kimbie's production work, they always somehow make songs that have a glitchy ascetic to them without going over board. _Four Years and One Day_ acts as a great opener for the album. _Blue Train Lines_ is a modern classic, King Krule supplies the vocals for this track, while Kimbie does the haunting melody backing the track. It has a very DUB feel to it, with the high hat rolls, topped with the sustained key presses. When the full track hits halfway through is something special. _Audition_ is another fabulous track as well; with some really good rising action tempered int he middle a bit before it is brought back in full. The next track, _Marilyn_, really slows things down a bit. _SP12 Beat_ is a very interesting listen, there are so many layers going. Everytime I listen to it I think I hear something new. The end rising action though always gets me hyped up. I really like the vocalist on the next track, _You Look Certain (I'm Not So Sure)_, Andrea Balency, I think I might go check out some of her stuff after this. _Poison_ acts as a bit of a palette cleanser between the next and previous tracks. _Delta_ is another one of those tracks that has something new to find on every listen. _T.A.M.E.D_ is one of the few tracks that does not have credited vocalists, I really like it but I wish I knew who was on the track. Overall a short but sweet album, dips in a few places, but I think the highs are definitely high enough to keep this album at a five.","5","5","4.2","\\OPENMEDIAVAULT\Media\Music\Mount Kimbie\Love What Survives\Cover.jpg","Fucking _Blue Train Lines_ is too good, this one is also for @Supershibe","NEXT UP:  Alone in a Crowd by Catch 22  More ska greatness. Its the genre thats the most fun!","2021-04-05T10:00:15.850973","2021-03-12","2021-03-15","2021-03-27"
"Alone in a Crowd","Catch 22","Cath-22, I think I just downloaded a bunch of ska and never really got around to listening to all of it. This album has some really fun brass diddies. Especially on _It Takes Some Time_. What I really like about _Catch 22_ is that they are not afraid to let their brass do the talking. You can hear some really nuts trumpet solos on some of the songs. For the most part this is pretty bog standard Ska, nothing wrong with that, just nothing special either. Overall I really like the album but I don't have much to say that I haven't already said.","4","4","3.1","\\OPENMEDIAVAULT\Media\Music\Catch 22\Alone In A Crowd\Cover.jpg","More ska greatness. Its the genre thats the most fun!","NEXT UP:  Amalgamation by Trapt  I don't think this is the album with Headstrong","2021-04-09T10:00:17.246700","","","2021-04-03"
